iter	Logloss
0	0.6848258335
1	0.6766158799
2	0.6691051481
3	0.6624658267
4	0.6562331574
5	0.6487333077
6	0.6423265662
7	0.6368098934
8	0.6298795284
9	0.6225694656
10	0.6159385109
11	0.6085117082
12	0.6017519818
13	0.5962660125
14	0.5902130699
15	0.5839398599
16	0.5783067237
17	0.5733563291
18	0.5695245305
19	0.5642585529
20	0.5594877897
21	0.5548590707
22	0.5495624551
23	0.5442751831
24	0.5399707004
25	0.5348929452
26	0.5307247751
27	0.5264286105
28	0.5232034525
29	0.5186892382
30	0.5139501244
31	0.5099823807
32	0.5058478193
33	0.5013747269
34	0.4971029076
35	0.4930990159
36	0.4887021275
37	0.4850100125
38	0.4821176108
39	0.4780559637
40	0.4739289563
41	0.4705206807
42	0.4666404447
43	0.4639008498
44	0.4604120329
45	0.4572851492
46	0.4542608625
47	0.451196641
48	0.4486335662
49	0.446070695
50	0.443249326
51	0.4401181872
52	0.4389876379
53	0.4365014046
54	0.4341550411
55	0.4313980487
56	0.4297740625
57	0.4273635215
58	0.4250781119
59	0.4227441007
60	0.4203631342
61	0.4175600497
62	0.4148769308
63	0.4124575935
64	0.4096655729
65	0.407846227
66	0.405535829
67	0.4047614058
68	0.4024444946
69	0.3999758141
70	0.397529034
71	0.3949287134
72	0.3932037343
73	0.3907282123
74	0.3889283075
75	0.3865315231
76	0.384522212
77	0.3836770816
78	0.3815884213
79	0.380103502
80	0.3786225065
81	0.3780633701
82	0.3762109827
83	0.3740208657
84	0.3721453422
85	0.3705334726
86	0.3695239366
87	0.3675469104
88	0.3656754509
89	0.3636984074
90	0.3621472304
91	0.360422072
92	0.3591455548
93	0.3575281777
94	0.3559153359
95	0.3547931179
96	0.3531171985
97	0.3516747963
98	0.3497903431
99	0.3481361607
100	0.346967842
101	0.3459381694
102	0.344570165
103	0.3433831742
104	0.3422574691
105	0.3413212029
106	0.3397157444
107	0.3385279337
108	0.3372427336
109	0.3359341652
110	0.3351475965
111	0.333838511
112	0.3324129028
113	0.331274258
114	0.3301802938
115	0.3285699755
116	0.3272460552
117	0.3259627922
118	0.3248331492
119	0.3240331483
120	0.323140701
121	0.3225164415
122	0.3217037362
123	0.3205744971
124	0.3197329461
125	0.3192097437
126	0.3179726201
127	0.316965097
128	0.3159579522
129	0.3146859695
130	0.3138518323
131	0.3129610576
132	0.3122066736
133	0.3112163903
134	0.3102708307
135	0.3094801708
136	0.3088152264
137	0.3081593443
138	0.3073574363
139	0.306560683
140	0.3054245977
141	0.3048172154
142	0.3039277271
143	0.3031047419
144	0.3023976142
145	0.3017263952
146	0.3013467675
147	0.3004833229
148	0.2994944712
149	0.2987308152
150	0.298028155
151	0.2975170154
152	0.2967756858
153	0.29600416
154	0.2952407224
155	0.2945398682
156	0.2935905668
157	0.2930922653
158	0.2925802298
159	0.2920349919
160	0.2914187408
161	0.2907532572
162	0.2900678289
163	0.2896229067
164	0.2890636488
165	0.2888068097
166	0.2880024056
167	0.2873960868
168	0.2870349905
169	0.2864512326
170	0.2858050805
171	0.2852225793
172	0.2842591027
173	0.283743265
174	0.2830492622
175	0.2821132548
176	0.2815081115
177	0.2809540786
178	0.2803985211
179	0.2794560788
180	0.2786460171
181	0.2778656529
182	0.2774002069
183	0.2769283012
184	0.2765390683
185	0.2760097097
186	0.2753437393
187	0.2749512749
188	0.2744195808
189	0.2739573443
190	0.273337088
191	0.2729237132
192	0.2721944919
193	0.271582472
194	0.2711479833
195	0.2707014347
196	0.2701414124
197	0.2693607503
198	0.2687506201
199	0.2680443031
