iter	Passed	Remaining
0	2	2473
1	4	2413
2	7	2363
3	9	2356
4	11	2338
5	14	2394
6	17	2445
7	20	2491
8	23	2551
9	26	2615
10	28	2600
11	31	2578
12	33	2569
13	36	2577
14	39	2598
15	42	2606
16	44	2595
17	47	2575
18	48	2509
19	51	2517
20	53	2506
21	56	2493
22	58	2481
23	60	2477
24	63	2485
25	66	2499
26	69	2490
27	71	2490
28	73	2469
29	76	2462
30	78	2463
31	81	2452
32	83	2455
33	86	2466
34	89	2459
35	92	2466
36	95	2475
37	97	2465
38	98	2438
39	102	2448
40	104	2452
41	107	2451
42	109	2446
43	112	2441
44	114	2433
45	117	2430
46	119	2425
47	122	2420
48	124	2411
49	126	2399
50	128	2387
51	130	2379
52	131	2355
53	134	2353
54	136	2350
55	139	2346
56	140	2326
57	142	2319
58	144	2312
59	148	2321
60	150	2318
61	152	2311
62	154	2303
63	157	2296
64	159	2289
65	161	2282
66	180	2509
67	181	2485
68	183	2477
69	186	2472
70	188	2465
71	190	2461
72	193	2455
73	195	2448
74	198	2443
75	200	2435
76	202	2427
77	203	2410
78	205	2400
79	208	2392
80	210	2383
81	211	2368
82	213	2363
83	216	2357
84	218	2351
85	220	2345
86	222	2331
87	224	2324
88	226	2318
89	229	2315
90	231	2310
91	233	2303
92	235	2296
93	237	2289
94	239	2283
95	241	2276
96	244	2271
97	246	2266
98	248	2261
99	250	2258
100	253	2255
101	255	2251
102	258	2251
103	261	2252
104	263	2247
105	265	2241
106	268	2239
107	270	2233
108	272	2228
109	274	2223
110	276	2217
111	279	2212
112	281	2210
113	283	2205
114	286	2201
115	288	2195
116	290	2190
117	292	2185
118	294	2181
119	296	2177
120	299	2172
121	301	2167
122	303	2162
123	305	2158
124	307	2155
125	309	2146
126	311	2141
127	313	2135
128	315	2130
129	317	2124
130	319	2119
131	321	2113
132	323	2110
133	325	2105
134	328	2102
135	330	2098
136	332	2095
137	334	2091
138	336	2086
139	339	2083
140	341	2079
141	343	2074
142	345	2069
143	347	2068
144	350	2064
145	352	2060
146	354	2058
147	357	2056
148	359	2054
149	362	2052
150	364	2049
151	366	2046
152	369	2044
153	371	2043
154	374	2040
155	376	2038
156	379	2036
157	381	2034
158	383	2029
159	385	2025
160	388	2023
161	390	2018
162	392	2014
163	394	2010
164	396	2006
165	398	1999
166	400	1995
167	402	1993
168	404	1989
169	406	1985
170	408	1982
171	411	1978
172	413	1975
173	415	1971
174	417	1969
175	420	1967
176	422	1964
177	424	1961
178	426	1958
179	429	1954
180	431	1951
181	433	1948
182	435	1945
183	437	1941
184	439	1938
185	442	1935
186	444	1931
187	446	1928
188	448	1925
189	450	1922
190	452	1918
191	455	1915
192	457	1911
193	459	1909
194	461	1906
195	464	1903
196	466	1901
197	468	1897
198	470	1893
199	472	1891
200	475	1889
201	477	1888
202	480	1885
203	482	1882
204	484	1880
205	486	1876
206	489	1873
207	491	1870
208	493	1868
209	495	1865
210	498	1862
211	500	1860
212	502	1857
213	504	1854
214	507	1851
215	509	1848
216	511	1844
217	514	1844
218	516	1841
219	518	1839
220	521	1838
221	524	1836
222	526	1834
223	529	1834
224	532	1834
225	535	1832
226	537	1830
227	539	1826
228	541	1823
229	543	1820
230	546	1818
231	548	1815
232	551	1814
233	553	1812
234	555	1809
235	558	1807
236	560	1803
237	563	1802
238	565	1800
239	567	1798
240	569	1795
241	571	1791
242	574	1788
243	576	1786
244	579	1784
245	581	1781
246	583	1778
247	585	1775
248	588	1774
249	590	1772
250	593	1771
251	596	1769
252	598	1766
253	600	1764
254	602	1761
255	605	1758
256	607	1755
257	609	1753
258	611	1750
259	613	1747
260	616	1744
261	618	1742
262	620	1739
263	622	1736
264	625	1734
265	627	1731
266	629	1728
267	631	1725
268	633	1721
269	635	1717
270	637	1714
271	639	1710
272	641	1708
273	643	1705
274	645	1702
275	647	1698
276	649	1695
277	651	1691
278	653	1688
279	655	1684
280	657	1682
281	659	1679
282	661	1676
283	663	1673
284	665	1669
285	667	1666
286	669	1663
287	671	1659
288	673	1657
289	675	1654
290	677	1651
291	679	1647
292	681	1644
293	683	1641
294	685	1637
295	687	1634
296	689	1631
297	691	1628
298	693	1625
299	695	1622
300	697	1619
301	699	1615
302	700	1612
303	702	1609
304	704	1606
305	706	1603
306	708	1600
307	710	1596
308	712	1593
309	714	1590
310	716	1587
311	718	1583
312	720	1581
313	722	1579
314	724	1576
315	727	1573
316	728	1570
317	730	1567
318	732	1564
319	734	1561
320	736	1558
321	738	1555
322	740	1552
323	742	1549
324	745	1547
325	746	1544
326	748	1541
327	750	1538
328	753	1535
329	755	1533
330	757	1530
331	759	1527
332	761	1524
333	762	1519
334	764	1516
335	766	1513
336	767	1510
337	770	1508
338	772	1507
339	775	1504
340	777	1501
341	779	1498
342	780	1495
343	782	1493
344	785	1490
345	786	1487
346	788	1483
347	790	1480
348	792	1477
349	794	1474
350	795	1471
351	797	1468
352	799	1466
353	801	1463
354	803	1460
355	804	1456
356	806	1453
357	808	1450
358	810	1447
359	812	1444
360	814	1441
361	816	1439
362	818	1436
363	820	1434
364	822	1431
365	824	1428
366	826	1425
367	828	1422
368	830	1419
369	832	1416
370	834	1414
371	836	1412
372	838	1409
373	840	1406
374	842	1404
375	844	1401
376	846	1398
377	848	1395
378	850	1393
379	852	1390
380	854	1387
381	856	1385
382	858	1382
383	860	1379
384	861	1376
385	864	1374
386	866	1372
387	868	1369
388	870	1367
389	872	1364
390	874	1361
391	876	1358
392	878	1356
393	880	1353
394	882	1351
395	884	1348
396	886	1345
397	888	1343
398	889	1340
399	891	1337
400	893	1334
401	895	1332
402	897	1330
403	899	1327
404	901	1324
405	903	1321
406	905	1319
407	907	1316
408	909	1314
409	911	1311
410	913	1309
411	915	1307
412	918	1305
413	920	1302
414	922	1300
415	924	1297
416	926	1295
417	928	1292
418	930	1290
419	932	1287
420	934	1284
421	935	1281
422	937	1278
423	939	1276
424	941	1273
425	943	1271
426	945	1268
427	947	1266
428	948	1262
429	950	1260
430	953	1258
431	955	1256
432	957	1254
433	959	1251
434	961	1249
435	964	1247
436	966	1244
437	968	1243
438	970	1240
439	972	1238
440	974	1235
441	976	1233
442	979	1231
443	981	1228
444	983	1226
445	986	1224
446	988	1222
447	990	1220
448	992	1217
449	994	1215
450	996	1212
451	998	1210
452	1000	1208
453	1002	1206
454	1005	1204
455	1007	1201
456	1009	1199
457	1011	1196
458	1013	1194
459	1015	1192
460	1017	1190
461	1019	1187
462	1021	1185
463	1023	1182
464	1026	1180
465	1028	1178
466	1030	1176
467	1032	1173
468	1034	1171
469	1036	1168
470	1038	1166
471	1040	1163
472	1042	1162
473	1045	1159
474	1047	1157
475	1049	1155
476	1051	1152
477	1053	1150
478	1056	1148
479	1058	1147
480	1061	1145
481	1063	1142
482	1065	1140
483	1067	1138
484	1069	1136
485	1072	1133
486	1074	1131
487	1076	1129
488	1078	1126
489	1081	1125
490	1084	1124
491	1087	1122
492	1091	1122
493	1094	1121
494	1097	1119
495	1100	1118
496	1104	1117
497	1108	1117
498	1110	1115
499	1113	1113
500	1115	1110
501	1117	1108
502	1120	1107
503	1123	1105
504	1125	1103
505	1128	1101
506	1131	1099
507	1134	1098
508	1143	1102
509	1145	1100
510	1147	1098
511	1150	1096
512	1152	1094
513	1155	1092
514	1157	1090
515	1160	1088
516	1162	1085
517	1164	1083
518	1166	1081
519	1169	1079
520	1171	1077
521	1173	1074
522	1175	1072
523	1178	1070
524	1180	1068
525	1182	1065
526	1185	1063
527	1187	1061
528	1189	1059
529	1191	1056
530	1193	1054
531	1195	1052
532	1198	1050
533	1200	1048
534	1203	1045
535	1205	1043
536	1207	1040
537	1209	1038
538	1211	1036
539	1213	1034
540	1216	1031
541	1218	1029
542	1220	1027
543	1222	1024
544	1224	1022
545	1226	1019
546	1229	1017
547	1231	1015
548	1233	1013
549	1235	1011
550	1238	1008
551	1240	1006
552	1242	1004
553	1244	1001
554	1246	999
555	1248	996
556	1250	994
557	1252	992
558	1254	989
559	1256	987
560	1259	985
561	1261	983
562	1263	980
563	1265	978
564	1268	976
565	1270	974
566	1272	971
567	1274	969
568	1276	967
569	1278	964
570	1281	962
571	1283	960
572	1285	957
573	1287	955
574	1289	953
575	1291	950
576	1293	948
577	1296	946
578	1298	944
579	1300	942
580	1303	939
581	1305	937
582	1307	934
583	1309	932
584	1311	930
585	1314	928
586	1316	926
587	1318	923
588	1320	921
589	1322	919
590	1325	916
591	1328	915
592	1331	913
593	1333	911
594	1335	909
595	1338	906
596	1340	904
597	1342	902
598	1344	899
599	1346	897
600	1348	895
601	1350	892
602	1352	890
603	1353	887
604	1355	885
605	1358	882
606	1360	880
607	1362	878
608	1364	875
609	1366	873
610	1368	871
611	1370	868
612	1372	866
613	1374	864
614	1377	862
615	1379	859
616	1381	857
617	1383	854
618	1385	852
619	1387	850
620	1389	847
621	1391	845
622	1394	843
623	1396	841
624	1398	839
625	1400	836
626	1402	834
627	1405	832
628	1407	830
629	1409	828
630	1412	825
631	1414	823
632	1416	821
633	1418	819
634	1420	816
635	1423	814
636	1425	812
637	1427	809
638	1429	807
639	1431	805
640	1433	803
641	1436	800
642	1438	798
643	1440	796
644	1443	794
645	1445	792
646	1447	789
647	1449	787
648	1451	785
649	1453	782
650	1456	781
651	1459	778
652	1461	776
653	1463	774
654	1465	771
655	1467	769
656	1469	767
657	1472	765
658	1474	762
659	1476	760
660	1478	758
661	1480	756
662	1483	753
663	1485	751
664	1487	749
665	1490	747
666	1492	745
667	1494	742
668	1496	740
669	1498	738
670	1500	735
671	1503	733
672	1505	731
673	1507	729
674	1509	726
675	1511	724
676	1513	722
677	1515	719
678	1517	717
679	1520	715
680	1522	713
681	1524	711
